fecha	banda	reflec
2021-07-25	B11	0.02723333333333333
2021-07-25	B12	0.02106666666666666
2021-07-30	B01	0.01533333333333333
2021-07-30	B02	0.01263333333333333
2021-07-30	B03	0.02343333333333333
2021-07-30	B04	0.01583333333333333
2021-07-30	B05	0.0226
2021-07-30	B06	0.011
2021-07-30	B07	0.01253333333333333
2021-07-30	B08	0.01636666666666666
2021-07-30	B8A	0.0148
2021-07-30	B11	0.01906666666666666
2021-07-30	B12	0.01296666666666666
2021-08-04	B01	0.4575666666666667
2021-08-04	B02	0.4550666666666667
2021-08-04	B03	0.4629333333333333
2021-08-04	B04	0.4548
2021-08-04	B05	0.4543333333333333
2021-08-04	B06	0.4720666666666667
2021-08-04	B07	0.4845333333333333
2021-08-04	B08	0.5302666666666667
2021-08-04	B8A	0.4966
2021-08-04	B11	0.23676666666666668
2021-08-04	B12	0.24763333333333337
2021-08-09	B01	0.8187
2021-08-09	B02	0.9549333333333332
2021-08-09	B03	0.8269333333333333
2021-08-09	B04	0.8317333333333333
2021-08-09	B05	0.8581333333333333
2021-08-09	B06	0.8279
2021-08-09	B07	0.8376333333333333
2021-08-09	B08	0.8101333333333334
2021-08-09	B8A	0.8303333333333334
2021-08-09	B11	0.5617666666666666
2021-08-09	B12	0.40913333333333335
2021-08-14	B01	0.05169999999999999
2021-08-14	B02	0.04116666666666666
2021-08-14	B03	0.05346666666666667
2021-08-14	B04	0.038
2021-08-14	B05	0.04726666666666666
2021-08-14	B06	0.0416
2021-08-14	B07	0.0425
2021-08-14	B08	0.04273333333333333
2021-08-14	B8A	0.0422
2021-08-14	B11	0.03456666666666666
2021-08-14	B12	0.02503333333333333
2021-08-19	B01	0.06849999999999999
2021-08-19	B02	0.08033333333333334
2021-08-19	B03	0.08966666666666667
2021-08-19	B04	0.07186666666666666
2021-08-19	B05	0.08383333333333334
2021-08-19	B06	0.07496666666666667
2021-08-19	B07	0.0757
2021-08-19	B08	0.0692
2021-08-19	B8A	0.0623
2021-08-19	B11	0.0369
2021-08-19	B12	0.02373333333333333
2021-08-24	B01	0.217
2021-08-24	B02	0.21813333333333337
2021-08-24	B03	0.21
2021-08-24	B04	0.18486666666666665
2021-08-24	B05	0.21293333333333336
2021-08-24	B06	0.22533333333333333
2021-08-24	B07	0.22366666666666665
2021-08-24	B08	0.2402
2021-08-24	B8A	0.2138
2021-08-24	B11	0.18813333333333332
2021-08-24	B12	0.13446666666666668
2021-08-29	B01	0.02263333333333333
2021-08-29	B02	0.02216666666666666
2021-08-29	B03	0.04926666666666667
2021-08-29	B04	0.03006666666666666
2021-08-29	B05	0.04786666666666667
2021-08-29	B06	0.02043333333333333
2021-08-29	B07	0.02493333333333333
2021-08-29	B08	0.02046666666666666
2021-08-29	B8A	0.01866666666666666
2021-08-29	B11	0.02616666666666666
2021-08-29	B12	0.0183
2021-09-03	B01	0.21533333333333332
2021-09-03	B02	0.19946666666666668
2021-09-03	B03	0.1986
2021-09-03	B04	0.18626666666666664
2021-09-03	B05	0.21933333333333332
2021-09-03	B06	0.24226666666666663
2021-09-03	B07	0.25043333333333334
2021-09-03	B08	0.2428
2021-09-03	B8A	0.2554666666666667
2021-09-03	B11	0.2447
2021-09-03	B12	0.21063333333333337
2021-09-08	B01	0.4518333333333333
2021-09-08	B02	0.4348
2021-09-08	B03	0.4063333333333333
