fecha	param	LR1	LR2	LR3	LT
2021-04-21	B11	0.0196	0.0372	0.046	0.0412
2021-04-21	B12	0.0148	0.0189	0.0331	0.0296
2021-04-26	B01	0.0047	0.0116	0.0122	0.051
2021-04-26	B02	0.0023	0.0034	8e-4	0.08
2021-04-26	B03	0.0136	0.0166	0.0152	0.136
2021-04-26	B04	0.0089	0.0105	0.0095	0.204
2021-04-26	B05	0.0116	0.0191	0.0186	0.2174
2021-04-26	B06	0.0054	0.007	0.0098	0.1758
2021-04-26	B07	0.0052	0.0073	0.0131	0.185
2021-04-26	B08	0.0097	0.0099	0.0104	0.1718
2021-04-26	B8A	0.0012	0.0126	0.0116	0.1489
2021-04-26	B11	0.0153	0.0194	0.0159	0.0133
2021-04-26	B12	0.0105	0.0129	0.0135	0.0098
2021-05-01	B01	0.0044	0.0119	0.0107	0.0447
2021-05-01	B02	0.0077	0.0079	0.0088	0.0788
2021-05-01	B03	0.0168	0.0175	0.0169	0.1318
2021-05-01	B04	0.012	0.0103	0.0124	0.1926
2021-05-01	B05	0.0136	0.0168	0.0175	0.2071
2021-05-01	B06	0.0073	0.0088	0.013	0.1581
2021-05-01	B07	0.0102	0.0119	0.0135	0.1679
2021-05-01	B08	0.0092	0.0099	0.0121	0.1468
2021-05-01	B8A	0.0079	0.0162	0.0143	0.1276
2021-05-01	B11	0.0201	0.0261	0.0226	0.0197
2021-05-01	B12	0.0136	0.0174	0.0148	0.0138
2021-05-06	B01	0.01	0.0212	0.0176	0.0516
2021-05-06	B02	0.0094	0.0107	0.0242	0.0755
2021-05-06	B03	0.0194	0.0205	0.0374	0.1302
2021-05-06	B04	0.0116	0.016	0.0257	0.1874
2021-05-06	B05	0.0177	0.0198	0.049	0.2028
2021-05-06	B06	0.0018	0.0204	0.0589	0.153
2021-05-06	B07	1e-4	0.0242	0.0685	0.1589
2021-05-06	B08	0.0153	0.0284	0.0856	0.1542
2021-05-06	B8A	0.0129	0.0251	0.0621	0.124
2021-05-06	B11	0.0203	0.0311	0.0601	0.0143
2021-05-06	B12	0.0139	0.0208	0.037	0.0092
2021-05-11	B01	1.1888	1.2175	1.2112	1.2471
2021-05-11	B02	1.1544	1.152	1.1536	1.1184
2021-05-11	B03	1.0352	1.0392	1.0416	1.016
2021-05-11	B04	0.9344	0.9328	0.944	0.9248
2021-05-11	B05	0.9915	1.0013	0.9978	0.9909
2021-05-11	B06	0.922	0.9251	0.9316	0.9147
2021-05-11	B07	0.8651	0.8703	0.8745	0.8721
2021-05-11	B08	0.9168	0.9336	0.924	0.9016
2021-05-11	B8A	0.8123	0.8178	0.8121	0.8398
2021-05-11	B11	0.4933	0.4964	0.4984	0.4892
2021-05-11	B12	0.4307	0.4466	0.4384	0.4426
2021-05-16	B01	0.0083	0.017	0.0136	0.0452
2021-05-16	B02	0.0073	0.0039	0.0089	0.07
2021-05-16	B03	0.0265	0.0282	0.0252	0.1244
2021-05-16	B04	0.0136	0.0141	0.0144	0.181
2021-05-16	B05	0.0188	0.0234	0.0216	0.1888
2021-05-16	B06	1e-4	0.0131	0.0124	0.1307
2021-05-16	B07	0.0014	0.0176	0.0131	0.1371
2021-05-16	B08	0.01	0.0099	0.0115	0.119
2021-05-16	B8A	0.0112	0.0093	0.0141	0.1001
2021-05-16	B11	0.0165	0.0238	0.0209	0.017
2021-05-16	B12	0.0117	0.0143	0.0133	0.0119
2021-05-21	B01	0.0228	0.0282	0.0347	0.0093
2021-05-21	B02	0.0309	0.031	0.0317	0.0348
2021-05-21	B03	0.0454	0.0466	0.0446	0.0612
2021-05-21	B04	0.0303	0.0316	0.0298	0.082
2021-05-21	B05	0.0373	0.0439	0.0429	0.0884
2021-05-21	B06	0.0154	0.0338	0.0312	0.0591
2021-05-21	B07	0.0322	0.0347	0.0379	0.0651
2021-05-21	B08	0.033	0.0309	0.0318	0.0551
2021-05-21	B8A	0.0271	0.0312	0.0359	0.0439
2021-05-21	B11	0.0296	0.0384	0.0343	0.0121
2021-05-21	B12	0.0198	0.0293	0.0285	0.0099
2021-05-26	B01	0.0567	0.063	0.0726	0.0262
2021-05-26	B02	0.0504	0.0543	0.0528	0.0431
2021-05-26	B03	0.0729	0.0772	0.0827	0.0827
2021-05-26	B04	0.0548	0.061	0.0635	0.112
2021-05-26	B05	0.0752	0.0788	0.0844	0.1203
2021-05-26	B06	0.0793	0.0815	0.0857	0.085
2021-05-26	B07	0.0823	0.0892	0.0976	0.089
2021-05-26	B08	0.0831	0.0837	0.0916	0.0759
2021-05-26	B8A	0.0847	0.093	0.0996	0.0654
2021-05-26	B11	0.0751	0.0736	0.0768	0.0249
2021-05-26	B12	0.0577	0.0632	0.0651	0.0188
2021-05-31	B01	0.0032	0.0078	0.0079	0.0324
2021-05-31	B02	0.0109	0.0112	0.0114	0.0644
2021-05-31	B03	0.0368	0.0381	0.0365	0.106
2021-05-31	B04	0.0182	0.0186	0.0175	0.1502
2021-05-31	B05	0.035	0.0325	0.0356	0.1499
2021-05-31	B06	0.0196	0.0146	0.0187	0.0984
2021-05-31	B07	0.0118	0.0222	0.0191	0.1011
2021-05-31	B08	0.0159	0.0177	0.0169	0.0882
2021-05-31	B8A	0.0111	0.0152	0.017	0.0628
2021-05-31	B11	0.0169	0.0211	0.0207	0.0186
2021-05-31	B12	0.0103	0.0175	0.0147	0.012
2021-06-05	B01	0.8384	0.8719	0.9258	0.955
2021-06-05	B02	0.724	0.7744	0.7656	0.6632
2021-06-05	B03	0.7536	0.7456	0.7132	0.7056
2021-06-05	B04	0.7272	0.7204	0.694	0.7164
2021-06-05	B05	0.7939	0.7979	0.7766	0.7954
2021-06-05	B06	0.7366	0.7478	0.7532	0.765
2021-06-05	B07	0.6971	0.7137	0.724	0.744
2021-06-05	B08	0.7084	0.7148	0.6904	0.6148
2021-06-05	B8A	0.6688	0.689	0.7099	0.7402
2021-06-05	B11	0.5861	0.5992	0.5967	0.559
2021-06-05	B12	0.5301	0.5547	0.5769	0.5548
2021-06-10	B01	0.007	0.0137	0.0124	0.0374
2021-06-10	B02	0.0082	0.0191	0.0189	0.0702
2021-06-10	B03	0.0209	0.0446	0.0443	0.111
2021-06-10	B04	0.0121	0.0218	0.0216	0.1508
2021-06-10	B05	0.0253	0.045	0.0457	0.1496
2021-06-10	B06	0.002	0.0176	0.0219	0.076
2021-06-10	B07	0.0162	0.022	0.0222	0.0834
2021-06-10	B08	0.0113	0.017	0.0184	0.0697
2021-06-10	B8A	0.0021	0.0188	0.0218	0.0562
2021-06-10	B11	0.0108	0.0214	0.0177	0.016
2021-06-10	B12	0.0062	0.0164	0.0138	0.0097
2021-06-15	B01	0.8384	0.885	0.8807	0.9056
2021-06-15	B02	0.6232	0.644	0.6608	0.674
